통합ID	권역	정류장명(원본명 기준)	대표명(끝 번호 제거)	원본 항목 수	유형	주소	주소 여부	카카오맵 그룹	원본 URL	중복 검토ID	검토 상태	원본 별칭
ST-D-001	대산	간월_371	간월	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	-	원본명 기준 통합	간월_371
ST-D-002	대산	갈말종점_224	갈말종점	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	-	원본명 기준 통합	갈말종점_224
ST-D-003	대산	고창개_171	고창개	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	-	원본명 기준 통합	고창개_171
ST-D-004	대산	공군부대_1848	공군부대	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	-	원본명 기준 통합	공군부대_1848
ST-D-005	대산	공동묘지_243	공동묘지	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-018	유사표기 검토	공동묘지_243
ST-D-006	대산	공동묘지_244	공동묘지	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-018	유사표기 검토	공동묘지_244
ST-D-007	대산	광암_281	광암	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-019	유사표기 검토	광암_281
ST-D-008	대산	광암_282	광암	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-019	유사표기 검토	광암_282
ST-D-009	대산	구청운초교_450	구청운초교	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-020	유사표기 검토	구청운초교_450
ST-D-010	대산	구청운초교_451	구청운초교	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-020	유사표기 검토	구청운초교_451
ST-D-011	대산	기은1리 경로당(마을회관)_195-12	기은1리 경로당(마을회관)	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	-	원본명 기준 통합	기은1리 경로당(마을회관)_195-12
ST-D-012	대산	기은1리_1	기은1리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-005	유사표기 검토	기은1리_1
ST-D-013	대산	기은1리_152	기은1리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-005	유사표기 검토	기은1리_152
ST-D-014	대산	기은1리_199	기은1리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-005	유사표기 검토	기은1리_199
ST-D-015	대산	기은1리_200	기은1리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-005	유사표기 검토	기은1리_200
ST-D-016	대산	기은2리_85	기은2리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-006	유사표기 검토	기은2리_85
ST-D-017	대산	기은2리_88	기은2리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-006	유사표기 검토	기은2리_88
ST-D-018	대산	기은2리_259	기은2리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-006	유사표기 검토	기은2리_259
ST-D-019	대산	기은2리_260	기은2리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-006	유사표기 검토	기은2리_260
ST-D-020	대산	기은2리회관_140	기은2리회관	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-021	유사표기 검토	기은2리회관_140
ST-D-021	대산	기은2리회관_141	기은2리회관	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-021	유사표기 검토	기은2리회관_141
ST-D-022	대산	기은고지2길 76	기은고지2길	1	지점	충남 서산시 대산읍 기은리 204-1	있음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	-	원본명 기준 통합	기은고지2길 76
ST-D-023	대산	꽃동산_594	꽃동산	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-022	유사표기 검토	꽃동산_594
ST-D-024	대산	꽃동산_595	꽃동산	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-022	유사표기 검토	꽃동산_595
ST-D-025	대산	꿈의학교_314	꿈의학교	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-023	유사표기 검토	꿈의학교_314
ST-D-026	대산	꿈의학교_314-3	꿈의학교	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-023	유사표기 검토	꿈의학교_314-3
ST-D-027	대산	답벌_231	답벌	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-024	유사표기 검토	답벌_231
ST-D-028	대산	답벌_232	답벌	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-024	유사표기 검토	답벌_232
ST-D-029	대산	대로1리 경로당(마을회관)_264	대로1리 경로당(마을회관)	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	-	원본명 기준 통합	대로1리 경로당(마을회관)_264
ST-D-030	대산	대로1리_73	대로1리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-007	유사표기 검토	대로1리_73
ST-D-031	대산	대로1리_74	대로1리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-007	유사표기 검토	대로1리_74
ST-D-032	대산	대로1리_125	대로1리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-007	유사표기 검토	대로1리_125
ST-D-033	대산	대로1리_126	대로1리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-007	유사표기 검토	대로1리_126
ST-D-034	대산	대로1리입구_183	대로1리입구	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-025	유사표기 검토	대로1리입구_183
ST-D-035	대산	대로1리입구_184	대로1리입구	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-025	유사표기 검토	대로1리입구_184
ST-D-036	대산	대로2리 경로당(마을회관)_183-14	대로2리 경로당(마을회관)	1	장소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	-	원본명 기준 통합	대로2리 경로당(마을회관)_183-14
ST-D-037	대산	대로2리_2259	대로2리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-026	유사표기 검토	대로2리_2259
ST-D-038	대산	대로2리_2268	대로2리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-026	유사표기 검토	대로2리_2268
ST-D-039	대산	대로3리 경로당(마을회관)_120	대로3리 경로당(마을회관)	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	-	원본명 기준 통합	대로3리 경로당(마을회관)_120
ST-D-040	대산	대로리_2202	대로리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-027	유사표기 검토	대로리_2202
ST-D-041	대산	대로리_2209	대로리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-027	유사표기 검토	대로리_2209
ST-D-042	대산	대산2리 경로당(마을회관)_21	대산2리 경로당(마을회관)	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	-	원본명 기준 통합	대산2리 경로당(마을회관)_21
ST-D-043	대산	대산3리_85	대산3리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-008	유사표기 검토	대산3리_85
ST-D-044	대산	대산3리_86	대산3리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-008	유사표기 검토	대산3리_86
ST-D-045	대산	대산3리_141	대산3리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-008	유사표기 검토	대산3리_141
ST-D-046	대산	대산3리_142	대산3리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-008	유사표기 검토	대산3리_142
ST-D-047	대산	대산3리경로당(마을회관_91-1	대산3리경로당(마을회관	1	장소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	-	원본명 기준 통합	대산3리경로당(마을회관__91-1
ST-D-048	대산	대산4리 경로당(마을회관)_76	대산4리 경로당(마을회관)	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	-	원본명 기준 통합	대산4리 경로당(마을회관)_76
ST-D-049	대산	대산5리 경로당(마을회관)_10	대산5리 경로당(마을회관)	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	-	원본명 기준 통합	대산5리 경로당(마을회관)_10
ST-D-050	대산	대산5리_2134	대산5리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-028	유사표기 검토	대산5리_2134
ST-D-051	대산	대산5리_2145	대산5리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	RV-D-028	유사표기 검토	대산5리_2145
ST-D-052	대산	대산6리_1903	대산6리	1	주소		없음	행복버스(대산 정류장)	https://kko.to/W3JuXfEktk	-	원본명 기준 통합	대산6리_1903
